cell_num,file_name,mh_score,kg_score
9,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell9.jpg,3,3
10,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell10.jpg,4,4
11,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell11.jpg,3,4
12,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell12.jpg,3,3
13,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell13.jpg,5,4
14,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell14.jpg,4,3
15,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell15.jpg,4,4
16,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell16.jpg,4,3
17,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell17.jpg,4,4
18,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell18.jpg,3,3
19,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell19.jpg,3,4
20,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell20.jpg,4,4
21,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell21.jpg,4,4
22,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell22.jpg,4,4
23,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell23.jpg,3,3
24,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell24.jpg,3,3
25,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell25.jpg,3,3
26,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell26.jpg,2,2
27,5500000014_63X_20190816_S1_P5_B3_annotations_corrected.Actn2_cell27.jpg,3,3
1,5500000014_63X_20190816_S1_P5_B4_annotations_corrected.Actn2_cell1.jpg,4,3
2,5500000014_63X_20190816_S1_P5_B4_annotations_corrected.Actn2_cell2.jpg,4,4
3,5500000014_63X_20190816_S1_P5_B4_annotations_corrected.Actn2_cell3.jpg,3,3
4,5500000014_63X_20190816_S1_P5_B4_annotations_corrected.Actn2_cell4.jpg,3,3
5,5500000014_63X_20190816_S1_P5_B4_annotations_corrected.Actn2_cell5.jpg,3,2
6,5500000014_63X_20190816_S1_P5_B4_annotations_corrected.Actn2_cell6.jpg,3,3
7,5500000014_63X_20190816_S1_P5_B4_annotations_corrected.Actn2_cell7.jpg,4,3
8,5500000014_63X_20190816_S1_P5_B4_annotations_corrected.Actn2_cell8.jpg,3,3
9,5500000014_63X_20190816_S1_P5_B4_annotations_corrected.Actn2_cell9.jpg,5,5
1,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell1.jpg,4,4
2,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell2.jpg,3,4
3,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell3.jpg,3,3
4,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell4.jpg,4,4
5,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell5.jpg,4,4
6,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell6.jpg,4,3
7,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell7.jpg,3,4
8,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell8.jpg,3,3
9,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell9.jpg,3,3
10,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell10.jpg,3,4
11,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell11.jpg,3,4
12,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell12.jpg,5,5
13,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell13.jpg,3,3
14,5500000014_63X_20190816_S1_P5_B5_annotations_corrected.Actn2_cell14.jpg,2,2
1,5500000014_63X_20190816_S1_P6_B2_annotations_corrected.Actn2_cell1.jpg,3,4
2,5500000014_63X_20190816_S1_P6_B2_annotations_corrected.Actn2_cell2.jpg,1,2
3,5500000014_63X_20190816_S1_P6_B2_annotations_corrected.Actn2_cell3.jpg,4,3
4,5500000014_63X_20190816_S1_P6_B2_annotations_corrected.Actn2_cell4.jpg,4,4
5,5500000014_63X_20190816_S1_P6_B2_annotations_corrected.Actn2_cell5.jpg,3,3
6,5500000014_63X_20190816_S1_P6_B2_annotations_corrected.Actn2_cell6.jpg,4,3
7,5500000014_63X_20190816_S1_P6_B2_annotations_corrected.Actn2_cell7.jpg,4,4
8,5500000014_63X_20190816_S1_P6_B2_annotations_corrected.Actn2_cell8.jpg,4,4
9,5500000014_63X_20190816_S1_P6_B2_annotations_corrected.Actn2_cell9.jpg,3,3
10,5500000014_63X_20190816_S1_P6_B2_annotations_corrected.Actn2_cell10.jpg,3,3
11,5500000014_63X_20190816_S1_P6_B2_annotations_corrected.Actn2_cell11.jpg,3,3
1,5500000014_63X_20190816_S1_P6_B3_annotations_corrected.Actn2_cell1.jpg,0,0
2,5500000014_63X_20190816_S1_P6_B3_annotations_corrected.Actn2_cell2.jpg,3,3
3,5500000014_63X_20190816_S1_P6_B3_annotations_corrected.Actn2_cell3.jpg,4,4
4,5500000014_63X_20190816_S1_P6_B3_annotations_corrected.Actn2_cell4.jpg,3,4
5,5500000014_63X_20190816_S1_P6_B3_annotations_corrected.Actn2_cell5.jpg,3,2
6,5500000014_63X_20190816_S1_P6_B3_annotations_corrected.Actn2_cell6.jpg,3,4
7,5500000014_63X_20190816_S1_P6_B3_annotations_corrected.Actn2_cell7.jpg,3,2
1,5500000014_63X_20190816_S1_P6_B4_annotations_corrected.Actn2_cell1.jpg,3,2
2,5500000014_63X_20190816_S1_P6_B4_annotations_corrected.Actn2_cell2.jpg,3,4
3,5500000014_63X_20190816_S1_P6_B4_annotations_corrected.Actn2_cell3.jpg,5,5
4,5500000014_63X_20190816_S1_P6_B4_annotations_corrected.Actn2_cell4.jpg,4,4
5,5500000014_63X_20190816_S1_P6_B4_annotations_corrected.Actn2_cell5.jpg,5,5
6,5500000014_63X_20190816_S1_P6_B4_annotations_corrected.Actn2_cell6.jpg,0,0
7,5500000014_63X_20190816_S1_P6_B4_annotations_corrected.Actn2_cell7.jpg,4,3
1,5500000014_63X_20190816_S1_P6_B5_annotations_corrected.Actn2_cell1.jpg,4,4
2,5500000014_63X_20190816_S1_P6_B5_annotations_corrected.Actn2_cell2.jpg,3,3
3,5500000014_63X_20190816_S1_P6_B5_annotations_corrected.Actn2_cell3.jpg,3,3
4,5500000014_63X_20190816_S1_P6_B5_annotations_corrected.Actn2_cell4.jpg,0,0
5,5500000014_63X_20190816_S1_P6_B5_annotations_corrected.Actn2_cell5.jpg,3,2
6,5500000014_63X_20190816_S1_P6_B5_annotations_corrected.Actn2_cell6.jpg,0,0
7,5500000014_63X_20190816_S1_P6_B5_annotations_corrected.Actn2_cell7.jpg,0,0
8,5500000014_63X_20190816_S1_P6_B5_annotations_corrected.Actn2_cell8.jpg,0,0
9,5500000014_63X_20190816_S1_P6_B5_annotations_corrected.Actn2_cell9.jpg,3,3
10,5500000014_63X_20190816_S1_P6_B5_annotations_corrected.Actn2_cell10.jpg,-1,-1
11,5500000014_63X_20190816_S1_P6_B5_annotations_corrected.Actn2_cell11.jpg,0,0
12,5500000014_63X_20190816_S1_P6_B5_annotations_corrected.Actn2_cell12.jpg,0,0
1,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell1.jpg,4,4
2,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell2.jpg,4,5
3,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell3.jpg,4,4
4,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell4.jpg,4,4
5,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell5.jpg,5,4
6,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell6.jpg,4,3
7,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell7.jpg,0,0
8,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell8.jpg,4,4
9,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell9.jpg,3,4
10,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell10.jpg,5,5
11,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell11.jpg,4,5
12,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell12.jpg,3,4
13,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell13.jpg,3,5
14,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell14.jpg,4,4
15,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell15.jpg,3,4
16,5500000014_63X_20190816_S1_P7_B2_annotations_corrected.Actn2_cell16.jpg,4,5
1,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell1.jpg,3,4
2,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell2.jpg,3,4
3,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell3.jpg,4,4
4,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell4.jpg,4,4
5,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell5.jpg,4,3
6,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell6.jpg,4,5
7,5500000014_63X_20190816_S1_P7_B3_annotations_corrected.Actn2_cell7.jpg,3,3
