FOVId,cell_num,file_name,file_base,probe_561_loc_score,probe_638_loc_score
901,5,5500000013_63X_20190807_S1_P12_B2_annotations_corrected.Actn2_cell5.jpg,5500000013_63X_20190807_S1_P12_B2_annotations_corrected,,
901,6,5500000013_63X_20190807_S1_P12_B2_annotations_corrected.Actn2_cell6.jpg,5500000013_63X_20190807_S1_P12_B2_annotations_corrected,,
901,7,5500000013_63X_20190807_S1_P12_B2_annotations_corrected.Actn2_cell7.jpg,5500000013_63X_20190807_S1_P12_B2_annotations_corrected,,
901,8,5500000013_63X_20190807_S1_P12_B2_annotations_corrected.Actn2_cell8.jpg,5500000013_63X_20190807_S1_P12_B2_annotations_corrected,,
901,9,5500000013_63X_20190807_S1_P12_B2_annotations_corrected.Actn2_cell9.jpg,5500000013_63X_20190807_S1_P12_B2_annotations_corrected,,
901,10,5500000013_63X_20190807_S1_P12_B2_annotations_corrected.Actn2_cell10.jpg,5500000013_63X_20190807_S1_P12_B2_annotations_corrected,,
901,11,5500000013_63X_20190807_S1_P12_B2_annotations_corrected.Actn2_cell11.jpg,5500000013_63X_20190807_S1_P12_B2_annotations_corrected,,
902,1,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell1.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,2,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell2.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,3,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell3.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,4,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell4.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,5,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell5.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,6,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell6.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,7,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell7.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
902,8,5500000013_63X_20190807_S1_P13_B2_annotations_corrected.Actn2_cell8.jpg,5500000013_63X_20190807_S1_P13_B2_annotations_corrected,,
