,cell_num,file_name,probe_561_loc_score,probe_638_loc_score
0,1,5500000014_63X_20190816_S1_P1_B2_annotations_corrected.Actn2_cell1.jpg,,
1,2,5500000014_63X_20190816_S1_P1_B2_annotations_corrected.Actn2_cell2.jpg,,
2,3,5500000014_63X_20190816_S1_P1_B2_annotations_corrected.Actn2_cell3.jpg,,
3,4,5500000014_63X_20190816_S1_P1_B2_annotations_corrected.Actn2_cell4.jpg,,
4,5,5500000014_63X_20190816_S1_P1_B2_annotations_corrected.Actn2_cell5.jpg,,
5,6,5500000014_63X_20190816_S1_P1_B2_annotations_corrected.Actn2_cell6.jpg,,
6,1,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell1.jpg,n,2
7,2,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell2.jpg,n,0
8,3,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell3.jpg,n,0
9,4,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell4.jpg,n,0
10,5,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell5.jpg,n,0
11,6,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell6.jpg,n,2
12,7,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell7.jpg,n,0
13,8,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell8.jpg,n,2
14,9,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell9.jpg,n,2
15,10,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell10.jpg,0,0
16,11,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell11.jpg,0,0
17,12,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell12.jpg,n,0
18,13,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell13.jpg,n,0
19,14,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell14.jpg,n,2
20,1,5500000014_63X_20190816_S1_P1_B4_annotations_corrected.Actn2_cell1.jpg,,
21,2,5500000014_63X_20190816_S1_P1_B4_annotations_corrected.Actn2_cell2.jpg,,
22,3,5500000014_63X_20190816_S1_P1_B4_annotations_corrected.Actn2_cell3.jpg,,
23,4,5500000014_63X_20190816_S1_P1_B4_annotations_corrected.Actn2_cell4.jpg,,
24,5,5500000014_63X_20190816_S1_P1_B4_annotations_corrected.Actn2_cell5.jpg,,
25,6,5500000014_63X_20190816_S1_P1_B4_annotations_corrected.Actn2_cell6.jpg,,
26,7,5500000014_63X_20190816_S1_P1_B4_annotations_corrected.Actn2_cell7.jpg,,
27,1,5500000014_63X_20190816_S1_P1_B5_annotations_corrected.Actn2_cell1.jpg,,
28,2,5500000014_63X_20190816_S1_P1_B5_annotations_corrected.Actn2_cell2.jpg,,
29,3,5500000014_63X_20190816_S1_P1_B5_annotations_corrected.Actn2_cell3.jpg,,
30,4,5500000014_63X_20190816_S1_P1_B5_annotations_corrected.Actn2_cell4.jpg,,
31,5,5500000014_63X_20190816_S1_P1_B5_annotations_corrected.Actn2_cell5.jpg,,
32,6,5500000014_63X_20190816_S1_P1_B5_annotations_corrected.Actn2_cell6.jpg,,
33,7,5500000014_63X_20190816_S1_P1_B5_annotations_corrected.Actn2_cell7.jpg,,
34,8,5500000014_63X_20190816_S1_P1_B5_annotations_corrected.Actn2_cell8.jpg,,
35,1,5500000014_63X_20190816_S1_P2_B2_annotations_corrected.Actn2_cell1.jpg,,
36,2,5500000014_63X_20190816_S1_P2_B2_annotations_corrected.Actn2_cell2.jpg,,
37,3,5500000014_63X_20190816_S1_P2_B2_annotations_corrected.Actn2_cell3.jpg,,
38,4,5500000014_63X_20190816_S1_P2_B2_annotations_corrected.Actn2_cell4.jpg,,
39,5,5500000014_63X_20190816_S1_P2_B2_annotations_corrected.Actn2_cell5.jpg,,
40,1,5500000014_63X_20190816_S1_P2_B3_annotations_corrected.Actn2_cell1.jpg,2,0
41,2,5500000014_63X_20190816_S1_P2_B3_annotations_corrected.Actn2_cell2.jpg,n,2
42,3,5500000014_63X_20190816_S1_P2_B3_annotations_corrected.Actn2_cell3.jpg,0,0
43,4,5500000014_63X_20190816_S1_P2_B3_annotations_corrected.Actn2_cell4.jpg,2,0
44,5,5500000014_63X_20190816_S1_P2_B3_annotations_corrected.Actn2_cell5.jpg,n,0
45,6,5500000014_63X_20190816_S1_P2_B3_annotations_corrected.Actn2_cell6.jpg,n,0
46,7,5500000014_63X_20190816_S1_P2_B3_annotations_corrected.Actn2_cell7.jpg,n,n
47,1,5500000014_63X_20190816_S1_P2_B4_annotations_corrected.Actn2_cell1.jpg,,
